Title,Year,IMDb Rating,Genre,Director(s),Lead Actors,Box Office Revenue
The Shawshank Redemption,1994,N/A,"Epic, Period Drama, Prison Drama, Drama","Frank Darabont, Stephen King, Frank Darabont, Stars, Tim Robbins, Morgan Freeman, Bob Gunton, , Frank Darabont, Stephen King, Frank Darabont, Stars, Tim Robbins, Morgan Freeman, Bob Gunton, ",N/A,N/A
The Godfather,1972,N/A,"Epic, Gangster, Tragedy, Crime, Drama","Francis Ford Coppola, Writers, Mario Puzo, Francis Ford Coppola, , Stars, Marlon Brando, Al Pacino, James Caan, , Francis Ford Coppola, Writers, Mario Puzo, Francis Ford Coppola, , Stars, Marlon Brando, Al Pacino, James Caan, ",N/A,N/A
The Dark Knight,2008,N/A,"Action Epic, Epic, Superhero, Tragedy, Action, Crime, Drama, Thriller","Christopher Nolan, Writers, Jonathan Nolan, Christopher Nolan, David S. Goyer, , Stars, Christian Bale, Heath Ledger, Aaron Eckhart, , Christopher Nolan, Writers, Jonathan Nolan, Christopher Nolan, David S. Goyer, , Stars, Christian Bale, Heath Ledger, Aaron Eckhart, ",N/A,N/A
The Godfather Part II,1974,N/A,"Epic, Gangster, Tragedy, Crime, Drama","Francis Ford Coppola, Writers, Francis Ford Coppola, Mario Puzo, , Stars, Al Pacino, Robert De Niro, Robert Duvall, , Francis Ford Coppola, Writers, Francis Ford Coppola, Mario Puzo, , Stars, Al Pacino, Robert De Niro, Robert Duvall, ",N/A,N/A
12 Angry Men,1957,N/A,"Legal Drama, Psychological Drama, Crime, Drama","Sidney Lumet, Writer, Reginald Rose, , Stars, Henry Fonda, Lee J. Cobb, Martin Balsam, , Sidney Lumet, Writer, Reginald Rose, , Stars, Henry Fonda, Lee J. Cobb, Martin Balsam, ",N/A,N/A
The Lord of the Rings: The Return of the King,2003,N/A,"Action Epic, Adventure Epic, Epic, Fantasy Epic, Mountain Adventure, Quest, Sword & Sorcery, Tragedy, Adventure, Drama","Peter Jackson, Writers, J.R.R. Tolkien, Fran Walsh, Philippa Boyens, , Stars, Elijah Wood, Viggo Mortensen, Ian McKellen, , Peter Jackson, Writers, J.R.R. Tolkien, Fran Walsh, Philippa Boyens, , Stars, Elijah Wood, Viggo Mortensen, Ian McKellen, ",N/A,N/A
Schindler's List,1993,N/A,"Docudrama, Epic, Historical Epic, Period Drama, Prison Drama, Tragedy, Biography, Drama, History","Steven Spielberg, Thomas Keneally, Steven Zaillian, Stars, Liam Neeson, Ralph Fiennes, Ben Kingsley, , Steven Spielberg, Thomas Keneally, Steven Zaillian, Stars, Liam Neeson, Ralph Fiennes, Ben Kingsley, ",N/A,N/A
Pulp Fiction,1994,N/A,"Dark Comedy, Drug Crime, Gangster, Crime, Drama","Quentin Tarantino, Writers, Quentin Tarantino, Roger Avary, , Stars, John Travolta, Uma Thurman, Samuel L. Jackson, , Quentin Tarantino, Writers, Quentin Tarantino, Roger Avary, , Stars, John Travolta, Uma Thurman, Samuel L. Jackson, ",N/A,N/A
The Lord of the Rings: The Fellowship of the Ring,2001,N/A,"Action Epic, Adventure Epic, Epic, Fantasy Epic, Quest, Sword & Sorcery, Adventure, Drama, Fantasy","Peter Jackson, Writers, J.R.R. Tolkien, Fran Walsh, Philippa Boyens, , Stars, Elijah Wood, Ian McKellen, Orlando Bloom, , Peter Jackson, Writers, J.R.R. Tolkien, Fran Walsh, Philippa Boyens, , Stars, Elijah Wood, Ian McKellen, Orlando Bloom, ",N/A,N/A
"The Good, the Bad and the Ugly",1966,N/A,"Adventure Epic, Dark Comedy, Desert Adventure, Epic, Period Drama, Quest, Spaghetti Western, Western Epic, Adventure, Western","Sergio Leone, Writers, Luciano Vincenzoni, Sergio Leone, Agenore Incrocci, , Stars, Clint Eastwood, Eli Wallach, Lee Van Cleef, , Sergio Leone, Writers, Luciano Vincenzoni, Sergio Leone, Agenore Incrocci, , Stars, Clint Eastwood, Eli Wallach, Lee Van Cleef, ",N/A,N/A
